channels,slots,scanPeriod,pEB,pSR,avgSyncTime,avgSyncTimeCILow,avgSyncTimeCIHigh,avgEnergyConsumption,avgEnergyConsumptionCILow,avgEnergyConsumptionCIHigh,CDF(1),CDF(2),CDF(3),CDF(4),CDF(5),CDF(6),CDF(7),CDF(8),CDF(9),CDF(10),CDF(11),CDF(12),CDF(13),CDF(14),CDF(15),CDF(16),CDF(17),CDF(18),CDF(19),CDF(20),CDF(21),CDF(22),CDF(23),CDF(24),CDF(25),CDF(26),CDF(27),CDF(28),CDF(29),CDF(30),CDF(31),CDF(32),CDF(33),CDF(34),CDF(35),CDF(36),CDF(37),CDF(38),CDF(39),CDF(40),CDF(41),CDF(42),CDF(43),CDF(44),CDF(45),CDF(46),CDF(47),CDF(48),CDF(49),CDF(50),CDF(51),CDF(52),CDF(53),CDF(54),CDF(55),CDF(56),CDF(57),CDF(58),CDF(59),CDF(60),CDF(61),CDF(62),CDF(63)
4.0,101.0,0.5,0.6393123006026232,"{11: 0.8928994082840237, 13: 0.8911264946507237, 14: 0.9068541300527241, 12: 0.8622247317899492}",6.6614290569999985,6.492046354166666,6.8337821688333324,0.5049551094108669,0.49215902872650685,0.5178481969960741,0.14166666666666666,0.2623333333333333,0.36766666666666664,0.45416666666666666,0.5313333333333333,0.5983333333333334,0.6585,0.7075,0.7501666666666666,0.7831666666666667,0.81,0.8393333333333334,0.8615,0.8813333333333333,0.8976666666666666,0.9125,0.925,0.9356666666666666,0.9448333333333333,0.953,0.9595,0.9645,0.969,0.9735,0.9783333333333334,0.9806666666666667,0.9831666666666666,0.9855,0.9863333333333333,0.9888333333333333,0.991,0.9916666666666667,0.9921666666666666,0.9928333333333333,0.9938333333333333,0.9941666666666666,0.995,0.9956666666666667,0.9965,0.9968333333333333,0.9968333333333333,0.9973333333333333,0.9975,0.9975,0.998,0.9981666666666666,0.9983333333333333,0.9986666666666667,0.9986666666666667,0.9988333333333334,0.999,0.9993333333333333,0.9995,0.9995,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9998333333333334,0.9998333333333334,0.9998333333333334,1.0
4.0,101.0,2.0,0.6603265745558945,"{11: 0.900373599003736, 13: 0.9013348810214742, 14: 0.9299007444168734, 12: 0.8908659549228944}",5.833190512833333,5.687315460666667,5.977721277833334,0.44215880966566273,0.4312601194979802,0.4534650458331713,0.14716666666666667,0.2843333333333333,0.39016666666666666,0.49166666666666664,0.5675,0.6446666666666667,0.7008333333333333,0.7581666666666667,0.7975,0.8318333333333333,0.8583333333333333,0.8856666666666667,0.9038333333333334,0.92,0.9315,0.9421666666666667,0.9496666666666667,0.9595,0.9645,0.9703333333333334,0.9745,0.9778333333333333,0.982,0.9851666666666666,0.9878333333333333,0.9888333333333333,0.9905,0.9921666666666666,0.9931666666666666,0.9941666666666666,0.9948333333333333,0.9955,0.9958333333333333,0.9971666666666666,0.9975,0.9976666666666667,0.9978333333333333,0.9978333333333333,0.9981666666666666,0.9986666666666667,0.9988333333333334,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.9995,0.9995,0.9995,0.9995,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,1.0,1.0,1.0,1.0,1.0,1.0
4.0,101.0,3.5,0.6594216960993596,"{11: 0.9093152375077113, 13: 0.8824531516183987, 14: 0.9175891758917589, 12: 0.9068627450980392}",4.892686699,4.7767502120000005,5.015556618333333,0.37096116019347364,0.3617634839953375,0.3799084919524207,0.15733333333333333,0.30783333333333335,0.4578333333333333,0.5675,0.639,0.7095,0.7791666666666667,0.8153333333333334,0.8476666666666667,0.8773333333333333,0.9005,0.9186666666666666,0.9346666666666666,0.9523333333333334,0.9613333333333334,0.9685,0.9741666666666666,0.9783333333333334,0.982,0.9836666666666667,0.9881666666666666,0.9895,0.9923333333333333,0.9946666666666667,0.9961666666666666,0.9963333333333333,0.997,0.9976666666666667,0.9981666666666666,0.9985,0.9986666666666667,0.9986666666666667,0.9991666666666666,0.9993333333333333,0.9995,0.9995,0.9996666666666667,0.9998333333333334,0.9998333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,101.0,5.0,0.6656987295825771,"{11: 0.9268447837150128, 13: 0.9143897996357013, 14: 0.9382192610539067, 12: 0.9001814882032668}",4.740725264166667,4.623780816833333,4.861135642833333,0.3594518325819136,0.35039194332825385,0.3684126252307764,0.15566666666666668,0.30966666666666665,0.4693333333333333,0.6201666666666666,0.6753333333333333,0.7225,0.7728333333333334,0.8201666666666667,0.87,0.89,0.9048333333333334,0.9233333333333333,0.9393333333333334,0.9546666666666667,0.9621666666666666,0.968,0.9726666666666667,0.9786666666666667,0.9836666666666667,0.9856666666666667,0.988,0.9898333333333333,0.9916666666666667,0.9938333333333333,0.995,0.9956666666666667,0.9961666666666666,0.9973333333333333,0.9976666666666667,0.9976666666666667,0.9981666666666666,0.9981666666666666,0.9985,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.9995,0.9995,0.9995,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,1.0,1.0,1.0,1.0,1.0
4.0,101.0,6.5,0.6765551959726717,"{11: 0.9179734620024126, 13: 0.9206762028608583, 14: 0.9324324324324325, 12: 0.9049079754601227}",4.691398678500001,4.577498076666667,4.805764198166667,0.3557159130338008,0.34716189327687885,0.3644940535994545,0.1535,0.30083333333333334,0.46216666666666667,0.6236666666666667,0.6828333333333333,0.7351666666666666,0.784,0.8173333333333334,0.851,0.8905,0.9136666666666666,0.9271666666666667,0.9426666666666667,0.9531666666666667,0.9608333333333333,0.9681666666666666,0.9778333333333333,0.9818333333333333,0.987,0.9891666666666666,0.9906666666666667,0.9921666666666666,0.9943333333333333,0.9948333333333333,0.9958333333333333,0.9966666666666667,0.9973333333333333,0.998,0.9986666666666667,0.999,0.9991666666666666,0.9993333333333333,0.9993333333333333,0.9995,0.9995,0.9995,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9998333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,101.0,8.0,0.6714188730482009,"{11: 0.8765288293535236, 13: 0.8901769371568029, 14: 0.9293904646952323, 12: 0.9055690072639225}",4.596697144166667,4.484832490666667,4.709392568500001,0.3485549807467619,0.34011227819261075,0.3572328893536968,0.16116666666666668,0.309,0.46366666666666667,0.6128333333333333,0.6761666666666667,0.7316666666666667,0.7896666666666666,0.8466666666666667,0.869,0.8915,0.9146666666666666,0.94,0.9498333333333333,0.9585,0.9671666666666666,0.9766666666666667,0.9795,0.9831666666666666,0.9871666666666666,0.99,0.9911666666666666,0.9921666666666666,0.9931666666666666,0.9941666666666666,0.9951666666666666,0.9955,0.9961666666666666,0.997,0.9976666666666667,0.9985,0.9988333333333334,0.9991666666666666,0.9991666666666666,0.9993333333333333,0.9995,0.9995,0.9995,0.9995,0.9996666666666667,0.9996666666666667,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,101.0,9.5,0.6688556887210638,"{11: 0.9200484554815264, 13: 0.8863771564544913, 14: 0.9492665036674817, 12: 0.9021329987452948}",4.671969318666667,4.562618023333334,4.785885797833334,0.35425203124225785,0.3457862098426276,0.3629700441846541,0.153,0.30416666666666664,0.4538333333333333,0.6086666666666667,0.6698333333333333,0.7321666666666666,0.7881666666666667,0.8446666666666667,0.8688333333333333,0.8898333333333334,0.9071666666666667,0.9258333333333333,0.943,0.9566666666666667,0.964,0.97,0.9788333333333333,0.9821666666666666,0.986,0.9873333333333333,0.9906666666666667,0.9926666666666667,0.9945,0.9955,0.996,0.9968333333333333,0.9973333333333333,0.9981666666666666,0.9988333333333334,0.9991666666666666,0.9993333333333333,0.9993333333333333,0.9995,0.9996666666666667,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,101.0,11.0,0.666398325551441,"{11: 0.954858934169279, 13: 0.924923076923077, 14: 0.9343530911408541, 12: 0.9117291414752116}",4.5458776788333335,4.437492199166667,4.658234647666667,0.3446757239383923,0.33638498494295405,0.35317025201320323,0.15433333333333332,0.30733333333333335,0.4658333333333333,0.6228333333333333,0.6771666666666667,0.7401666666666666,0.8045,0.8575,0.8801666666666667,0.9011666666666667,0.9236666666666666,0.9345,0.946,0.9585,0.9686666666666667,0.972,0.9761666666666666,0.9815,0.9875,0.9898333333333333,0.9913333333333333,0.993,0.994,0.9951666666666666,0.9958333333333333,0.9965,0.9968333333333333,0.9975,0.9983333333333333,0.999,0.999,0.999,0.9991666666666666,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9995,0.9995,0.9995,0.9996666666666667,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,101.0,12.5,0.6574174546581926,"{11: 0.9662845583277141, 13: 0.9170702179176755, 14: 0.9450956199876619, 12: 0.9319435928877989}",4.544520453833333,4.4402278825,4.657093148833334,0.34459816603315335,0.3365596155165111,0.3526471736131907,0.14516666666666667,0.30766666666666664,0.467,0.6263333333333333,0.687,0.7445,0.7968333333333333,0.855,0.8726666666666667,0.8935,0.9163333333333333,0.9373333333333334,0.9468333333333333,0.9548333333333333,0.9633333333333334,0.9718333333333333,0.978,0.983,0.9871666666666666,0.9911666666666666,0.9933333333333333,0.9941666666666666,0.996,0.9966666666666667,0.9978333333333333,0.998,0.999,0.9993333333333333,0.9993333333333333,0.9998333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,101.0,14.0,0.6538239538239539,"{11: 0.938489646772229, 13: 0.8784497944803288, 14: 0.9244114002478315, 12: 0.8904358353510896}",4.8354255565,4.717234951,4.954610683166667,0.36661728776334507,0.3577881108983328,0.3756447562290136,0.16133333333333333,0.30316666666666664,0.44516666666666665,0.6,0.6555,0.7123333333333334,0.7683333333333333,0.8253333333333334,0.8496666666666667,0.8763333333333333,0.907,0.929,0.94,0.9486666666666667,0.9548333333333333,0.9635,0.9713333333333334,0.9806666666666667,0.9836666666666667,0.9876666666666667,0.9895,0.9925,0.9938333333333333,0.9945,0.9948333333333333,0.997,0.9975,0.9981666666666666,0.9983333333333333,0.9985,0.9988333333333334,0.9995,0.9995,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9998333333333334,0.9998333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,101.0,15.5,0.6578544594406568,"{11: 0.9353587588881707, 13: 0.9051878354203936, 14: 0.9367888748419722, 12: 0.920569057498518}",4.649113599500001,4.536244447166667,4.762990056666667,0.3525336265456455,0.3442038516964471,0.3611681192284939,0.1545,0.3065,0.4608333333333333,0.612,0.6673333333333333,0.7283333333333334,0.7866666666666666,0.8446666666666667,0.869,0.8898333333333334,0.9183333333333333,0.9351666666666667,0.9455,0.9545,0.9631666666666666,0.9698333333333333,0.975,0.9795,0.9855,0.9898333333333333,0.9916666666666667,0.9935,0.9958333333333333,0.997,0.9975,0.9981666666666666,0.9981666666666666,0.9983333333333333,0.9985,0.9988333333333334,0.9993333333333333,0.9995,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,101.0,17.0,0.6619560654820205,"{11: 0.9100591715976332, 13: 0.9054726368159204, 14: 0.9302884615384616, 12: 0.908411214953271}",4.739030954333333,4.623157710333333,4.854538681499999,0.35932470920742715,0.3506168095989231,0.36803448415617473,0.15433333333333332,0.306,0.45116666666666666,0.6003333333333334,0.6558333333333334,0.714,0.7808333333333334,0.8433333333333334,0.8626666666666667,0.8863333333333333,0.911,0.934,0.9433333333333334,0.9528333333333333,0.9646666666666667,0.9741666666666666,0.9773333333333334,0.98,0.9845,0.987,0.9903333333333333,0.9918333333333333,0.9923333333333333,0.9941666666666666,0.9955,0.9961666666666666,0.9975,0.9976666666666667,0.9978333333333333,0.9978333333333333,0.998,0.9981666666666666,0.999,0.999,0.9993333333333333,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,101.0,18.5,0.6481603586970855,"{11: 0.8848413631022327, 13: 0.875, 14: 0.8888248847926268, 12: 0.8768768768768769}",5.084825933833334,4.957483932500001,5.214735675333333,0.3855001570880782,0.37560521415413084,0.39546873502938856,0.14733333333333334,0.2896666666666667,0.43383333333333335,0.5901666666666666,0.6495,0.7081666666666667,0.7646666666666667,0.8176666666666667,0.8431666666666666,0.8703333333333333,0.8926666666666667,0.9153333333333333,0.9271666666666667,0.9371666666666667,0.9483333333333334,0.959,0.9641666666666666,0.9698333333333333,0.9736666666666667,0.9778333333333333,0.9815,0.9858333333333333,0.9883333333333333,0.9898333333333333,0.991,0.9935,0.9943333333333333,0.995,0.9953333333333333,0.9961666666666666,0.9971666666666666,0.9975,0.998,0.9981666666666666,0.9983333333333333,0.9983333333333333,0.9986666666666667,0.9986666666666667,0.9986666666666667,0.9988333333333334,0.9993333333333333,0.9993333333333333,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,101.0,20.0,0.6517786561264822,"{11: 0.9071383449147189, 13: 0.8947677836566725, 14: 0.9272943980929678, 12: 0.898428053204353}",4.7629049775,4.648674350833334,4.8818589521666675,0.3611476393066053,0.3524372119730016,0.36976075684821025,0.15166666666666667,0.29833333333333334,0.449,0.6005,0.6586666666666666,0.7193333333333334,0.7756666666666666,0.8343333333333334,0.8585,0.8868333333333334,0.9118333333333334,0.9363333333333334,0.9448333333333333,0.9541666666666667,0.962,0.972,0.9753333333333334,0.98,0.9845,0.9881666666666666,0.99,0.991,0.992,0.9941666666666666,0.9948333333333333,0.9955,0.9963333333333333,0.9968333333333333,0.9976666666666667,0.998,0.9983333333333333,0.9986666666666667,0.9988333333333334,0.9993333333333333,0.9993333333333333,0.9996666666666667,0.9998333333333334,0.9998333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,101.0,4.0,0.6581973789783364,"{11: 0.9198795180722892, 13: 0.9089184060721063, 14: 0.9304655274012964, 12: 0.9239061509194674}",4.5785945214999995,4.468369234500001,4.6903952515,0.3471766846392634,0.3387528356313238,0.35567746764564057,0.163,0.3145,0.4693333333333333,0.6245,0.681,0.7361666666666666,0.7845,0.8421666666666666,0.8685,0.8915,0.916,0.9376666666666666,0.9478333333333333,0.9591666666666666,0.9678333333333333,0.9755,0.9781666666666666,0.9823333333333333,0.9858333333333333,0.9901666666666666,0.9915,0.9943333333333333,0.9946666666666667,0.9958333333333333,0.996,0.9965,0.9971666666666666,0.9978333333333333,0.998,0.9981666666666666,0.9988333333333334,0.999,0.9991666666666666,0.9993333333333333,0.9995,0.9995,0.9995,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9998333333333334,0.9998333333333334,0.9998333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,101.0,0.9922479999999999,0.6456429685758859,"{11: 0.9041420118343195, 13: 0.9207430340557275, 14: 0.9327837666455295, 12: 0.9065868263473054}",6.2136466535,6.057508717333333,6.371720275666666,0.4709934734868956,0.45875201182008996,0.48322086358700206,0.15266666666666667,0.277,0.3945,0.48333333333333334,0.564,0.6316666666666667,0.6885,0.735,0.7768333333333334,0.8085,0.8385,0.8598333333333333,0.8783333333333333,0.8953333333333333,0.912,0.9251666666666667,0.9353333333333333,0.9443333333333334,0.9525,0.9573333333333334,0.9633333333333334,0.9666666666666667,0.9715,0.9763333333333334,0.979,0.9828333333333333,0.9843333333333333,0.9866666666666667,0.989,0.9908333333333333,0.992,0.9935,0.9948333333333333,0.996,0.996,0.9965,0.9966666666666667,0.9968333333333333,0.997,0.9975,0.9975,0.9981666666666666,0.9986666666666667,0.9988333333333334,0.9988333333333334,0.9993333333333333,0.9995,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,1.0,1.0,1.0
